cohort,base_seed,candidate,control,window,effective_seed,source_index,motion_group,delta_imaging_quality,delta_dynamic_degree,delta_official_quality_score,delta_subject_consistency
v219,21600,ours_correct,sf_fifo21,full,21633,33,dd_tied,0.02268256910641986,0.0,0.48032290937771904,-0.001924754824494057
v219,21600,ours_correct,sf_fifo21,full,21634,34,dd_down,0.021775580724080257,-0.2666666666666667,-1.932732160177551,-0.004830156491642423
v219,21600,ours_correct,sf_fifo21,full,21636,36,dd_up,0.004809438546498512,0.06666666666666665,0.5598455503579771,-0.0007958909836748296
v219,21600,ours_correct,sf_fifo21,full,21637,37,dd_tied,-0.0009083743095398278,0.0,0.11930999215923066,0.000562296703118581
v219,21600,ours_correct,sf_fifo21,full,21641,41,dd_tied,0.0016648003260295585,0.0,0.03357428137317697,7.807265527703944e-05
v219,21600,ours_correct,sf_fifo21,full,21642,42,dd_down,0.003603857040405334,-0.13333333333333333,-0.9252810722987448,0.0005318670529314007
v219,21600,ours_correct,sf_fifo21,full,21644,44,dd_down,0.014656097571055127,-0.13333333333333333,-0.5735400841101921,0.004272190151781374
v219,21600,ours_correct,sf_fifo21,full,21645,45,dd_down,0.002952930768330808,-0.06666666666666665,-0.7499240812374808,-0.00017047901866906745
v219,21600,ours_correct,sf_fifo21,full,21649,49,dd_tied,0.003030229330062917,0.0,0.18562183271434662,0.00011221924637994096
v219,21600,ours_correct,sf_fifo21,full,21650,50,dd_tied,-0.0048168601989747595,0.0,-0.3708610638218346,-0.0004960823927393498
v219,21600,ours_correct,sf_fifo21,full,21652,52,dd_tied,0.0007996412913003903,0.0,0.02041507615099647,-0.00017499369848117396
v219,21600,ours_correct,sf_fifo21,full,21653,53,dd_tied,0.00030301125844323096,0.0,0.011878240772603021,0.00017412943491879052
v219,21600,ours_correct,sf_fifo21,full,21657,57,dd_tied,-0.0009077013333639306,0.0,0.002878783440067423,-4.45604827782331e-05
v219,21600,ours_correct,sf_fifo21,full,21658,58,dd_down,0.00465725413958229,-0.06666666666666668,-0.44948237850039163,0.0001036560647486029
v219,21600,ours_correct,sf_fifo21,full,21660,60,dd_up,-0.0003115668296812535,0.06666666666666665,0.6470941407649633,0.00299953452633972
v219,21600,ours_correct,sf_fifo21,full,21661,61,dd_tied,-0.031895430962244675,0.0,-0.9468050780983504,-0.008171812987597393
v219,21600,ours_correct,sf_fifo21,full,21665,65,dd_tied,0.0003929204940796849,0.0,0.006062775573241197,1.5721691931758208e-05
v219,21600,ours_correct,sf_fifo21,full,21666,66,dd_tied,-0.0033656879266102946,0.0,-0.015610480764848944,2.6723484773727435e-05
v219,21600,ours_correct,sf_fifo21,full,21668,68,dd_tied,-0.0008332692782083706,0.0,0.033769746521556954,0.00017899108763397287
v219,21600,ours_correct,sf_fifo21,full,21669,69,dd_tied,8.781472841901117e-05,0.0,-0.15385286075041904,-0.0023765528864243546
v219,21600,ours_correct,sf_fifo21,full,21673,73,dd_tied,-0.0054580988883972115,0.0,-0.06402158347012232,-0.001160449863689128
v219,21600,ours_correct,sf_fifo21,full,21674,74,dd_up,0.008704879522323572,0.1333333333333333,1.148296945651424,-0.0033010665529900063
v219,21600,ours_correct,sf_fifo21,full,21676,76,dd_down,-0.03535298649470009,-0.06666666666666665,-1.472110158313015,-0.0008308415013660309
